id, degree, indegree, outdegree, id, degree, indegree, outdegree
66, 5, 2, 3, 18, 7, 1, 6
66, 5, 2, 3, 86, 6, 3, 3
66, 5, 2, 3, 33, 30, 16, 14
135, 21, 11, 10, 129, 27, 14, 13
135, 21, 11, 10, 70, 37, 17, 20
135, 21, 11, 10, 142, 31, 15, 16
135, 21, 11, 10, 150, 29, 14, 15
135, 21, 11, 10, 50, 25, 13, 12
135, 21, 11, 10, 59, 35, 16, 19
135, 21, 11, 10, 19, 38, 16, 22
135, 21, 11, 10, 137, 31, 15, 16
135, 21, 11, 10, 88, 39, 19, 20
135, 21, 11, 10, 74, 34, 15, 19
48, 8, 2, 6, 25, 20, 9, 11
48, 8, 2, 6, 55, 9, 7, 2
48, 8, 2, 6, 92, 17, 11, 6
48, 8, 2, 6, 78, 8, 4, 4
48, 8, 2, 6, 59, 35, 16, 19
48, 8, 2, 6, 0, 20, 14, 6
93, 6, 3, 3, 111, 32, 15, 17
93, 6, 3, 3, 33, 30, 16, 14
93, 6, 3, 3, 88, 39, 19, 20
8, 22, 7, 15, 25, 20, 9, 11
8, 22, 7, 15, 128, 21, 11, 10
8, 22, 7, 15, 55, 9, 7, 2
8, 22, 7, 15, 22, 28, 15, 13
8, 22, 7, 15, 70, 37, 17, 20
8, 22, 7, 15, 104, 23, 13, 10
8, 22, 7, 15, 81, 10, 7, 3
8, 22, 7, 15, 92, 17, 11, 6
8, 22, 7, 15, 42, 15, 7, 8
8, 22, 7, 15, 59, 35, 16, 19
8, 22, 7, 15, 98, 23, 11, 12
8, 22, 7, 15, 19, 38, 16, 22
8, 22, 7, 15, 49, 16, 7, 9
8, 22, 7, 15, 45, 4, 2, 2
8, 22, 7, 15, 118, 9, 5, 4
113, 31, 14, 17, 135, 21, 11, 10
113, 31, 14, 17, 8, 22, 7, 15
113, 31, 14, 17, 70, 37, 17, 20
113, 31, 14, 17, 142, 31, 15, 16
113, 31, 14, 17, 150, 29, 14, 15
113, 31, 14, 17, 27, 30, 14, 16
113, 31, 14, 17, 111, 32, 15, 17
113, 31, 14, 17, 95, 42, 21, 21
113, 31, 14, 17, 120, 13, 7, 6
113, 31, 14, 17, 33, 30, 16, 14
113, 31, 14, 17, 59, 35, 16, 19
113, 31, 14, 17, 19, 38, 16, 22
113, 31, 14, 17, 137, 31, 15, 16
113, 31, 14, 17, 57, 19, 11, 8
113, 31, 14, 17, 127, 8, 6, 2
113, 31, 14, 17, 88, 39, 19, 20
113, 31, 14, 17, 74, 34, 15, 19
79, 5, 3, 2, 107, 17, 7, 10
79, 5, 3, 2, 120, 13, 7, 6
129, 27, 14, 13, 135, 21, 11, 10
129, 27, 14, 13, 47, 13, 10, 3
129, 27, 14, 13, 70, 37, 17, 20
129, 27, 14, 13, 142, 31, 15, 16
129, 27, 14, 13, 150, 29, 14, 15
129, 27, 14, 13, 50, 25, 13, 12
129, 27, 14, 13, 111, 32, 15, 17
129, 27, 14, 13, 95, 42, 21, 21
129, 27, 14, 13, 59, 35, 16, 19
129, 27, 14, 13, 19, 38, 16, 22
129, 27, 14, 13, 137, 31, 15, 16
129, 27, 14, 13, 74, 34, 15, 19
129, 27, 14, 13, 148, 23, 13, 10
25, 20, 9, 11, 48, 8, 2, 6
25, 20, 9, 11, 55, 9, 7, 2
25, 20, 9, 11, 65, 10, 7, 3
25, 20, 9, 11, 73, 20, 11, 9
25, 20, 9, 11, 22, 28, 15, 13
25, 20, 9, 11, 16, 15, 9, 6
25, 20, 9, 11, 104, 23, 13, 10
25, 20, 9, 11, 92, 17, 11, 6
25, 20, 9, 11, 3, 24, 11, 13
25, 20, 9, 11, 0, 20, 14, 6
25, 20, 9, 11, 110, 15, 10, 5
128, 21, 11, 10, 5, 31, 14, 17
